line_code,from_station_cd,to_station_cd,distance_m,time_sec,meta_json
1,서울역,시청,1100.0,120,
1,시청,종각,1000.0,120,
1,종각,종로3가,800.0,90,
1,종로3가,종로5가,900.0,90,
1,종로5가,동대문,800.0,90,
1,동대문,동묘앞,600.0,60,
1,동묘앞,신설동,700.0,90,
1,신설동,제기동,900.0,90,
1,제기동,청량리,1000.0,90,
2,시청,을지로입구,700.0,90,
2,을지로입구,을지로3가,800.0,60,
2,을지로3가,을지로4가,600.0,60,
2,을지로4가,동대문역사문화공원,1000.0,90,
2,동대문역사문화공원,신당,900.0,90,
2,신당,상왕십리,900.0,60,
2,상왕십리,왕십리,800.0,60,
2,왕십리,한양대,1000.0,90,
2,한양대,뚝섬,1100.0,90,
2,뚝섬,성수,800.0,60,
2,성수,건대입구,1200.0,90,
2,건대입구,구의,1600.0,120,
2,구의,강변,900.0,60,
2,강변,잠실나루,1800.0,120,
2,잠실나루,잠실,1000.0,90,
2,잠실,잠실새내,1200.0,90,
2,잠실새내,종합운동장,1200.0,90,
2,종합운동장,삼성,1000.0,90,
2,삼성,선릉,1300.0,90,
2,선릉,역삼,1200.0,90,
2,역삼,강남,800.0,60,
2,강남,교대,1200.0,90,
2,교대,서초,700.0,60,
2,서초,방배,1700.0,120,
2,방배,사당,1600.0,150,
2,사당,낙성대,1700.0,120,
2,낙성대,서울대입구,1000.0,90,
2,서울대입구,봉천,1000.0,60,
2,봉천,신림,1100.0,90,
2,신림,신대방,1800.0,120,
2,신대방,구로디지털단지,1100.0,90,
2,구로디지털단지,대림,1100.0,90,
2,대림,신도림,1800.0,150,
2,신도림,문래,1200.0,120,
2,문래,영등포구청,900.0,60,
2,영등포구청,당산,1100.0,90,
2,당산,합정,2000.0,150,
2,합정,홍대입구,1100.0,90,
2,홍대입구,신촌,1300.0,120,
2,신촌,이대,800.0,60,
2,이대,아현,900.0,60,
2,아현,충정로,800.0,90,
2,충정로,시청,1100.0,90,
2,시청,용답,2300.0,180,
2,용답,신답,1000.0,90,
2,신답,용두,900.0,90,
2,용두,신설동,1200.0,90,
2,신설동,도림천,1000.0,90,
2,도림천,양천구청,1700.0,150,
2,양천구청,신정네거리,1900.0,180,
2,신정네거리,까치산,1400.0,150,
3,지축,구파발,1500.0,180,
3,구파발,연신내,2000.0,120,
3,연신내,불광,1300.0,90,
3,불광,녹번,1100.0,90,
3,녹번,홍제,1600.0,120,
3,홍제,무악재,900.0,90,
3,무악재,독립문,1100.0,90,
3,독립문,경복궁,1600.0,120,
3,경복궁,안국,1100.0,90,
3,안국,종로3가,1000.0,90,
3,종로3가,을지로3가,600.0,60,
3,을지로3가,충무로,700.0,60,
3,충무로,동대입구,900.0,90,
3,동대입구,약수,700.0,60,
3,약수,금호,800.0,60,
3,금호,옥수,800.0,60,
3,옥수,압구정,2100.0,120,
3,압구정,신사,1500.0,120,
3,신사,잠원,900.0,90,
3,잠원,고속터미널,1200.0,90,
3,고속터미널,교대,1600.0,120,
3,교대,남부터미널,900.0,90,
3,남부터미널,양재,1800.0,120,
3,양재,매봉,1200.0,120,
3,매봉,도곡,800.0,90,
3,도곡,대치,800.0,60,
3,대치,학여울,800.0,60,
3,학여울,대청,900.0,90,
3,대청,일원,1200.0,90,
3,일원,수서,1800.0,120,
3,수서,가락시장,1400.0,120,
3,가락시장,경찰병원,800.0,60,
3,경찰병원,오금,800.0,60,
4,당고개,상계,1200.0,90,
4,상계,노원,1000.0,90,
4,노원,창동,1400.0,120,
