osm_name,osm_lat,osm_lon,osm_full_id,station_cd,station_name,line_code,fr_code,match_level,confidence,reason
한성대입구,37.5885141,127.0059624,node,0419,한성대입구,,,HIGH,0.98,exact_normalized
제기동,37.5783784,127.0344672,node,0157,제기동,,,HIGH,0.98,exact_normalized
과천,37.4330744,126.9969576,node,1453,과천,,,HIGH,0.98,exact_normalized
경마공원,37.4437648,127.0078955,node,1451,경마공원,,,HIGH,0.98,exact_normalized
일원,37.4836919,127.0843766,node,0338,일원,,,HIGH,0.98,exact_normalized
국회의사당,37.5280157,126.9179639,node,4114,국회의사당,,,HIGH,0.98,exact_normalized
노들,37.5129744,126.9535497,node,4118,노들,,,HIGH,0.98,exact_normalized
신설동,37.5760544,127.0246657,node,0156,신설동,,,LOW,0.65,multi_candidate_first
용답,37.56209,127.0508609,node,0244,용답,,,HIGH,0.98,exact_normalized
수서,37.4874159,127.1018399,node,0339,수서,,,LOW,0.65,multi_candidate_first
충정로,37.5593715,126.9629108,node,0243,충정로,,,LOW,0.65,multi_candidate_first
종로5가,37.5709867,127.0020222,node,0154,종로5가,,,HIGH,0.98,exact_normalized
고속터미널,37.5050827,127.0049777,node,0329,고속터미널,,,LOW,0.65,multi_candidate_first
봉은사,37.5141869,127.0602411,node,4129,봉은사,,,HIGH,0.98,exact_normalized
언주,37.507321,127.0338746,node,4126,언주,,,HIGH,0.98,exact_normalized
삼성중앙,37.5130955,127.0534747,node,4128,삼성중앙,,,HIGH,0.98,exact_normalized
사평,37.5042952,127.0151398,node,4124,사평,,,HIGH,0.98,exact_normalized
선정릉,37.510253,127.0438586,node,4127,선정릉,,,LOW,0.65,multi_candidate_first
신논현,37.5043224,127.0245306,node,4125,신논현,,,LOW,0.65,multi_candidate_first
구반포,37.5012899,126.9867849,node,4121,구반포,,,HIGH,0.98,exact_normalized
흑석,37.5083823,126.9639489,node,4119,흑석,,,HIGH,0.98,exact_normalized
신반포,37.5036014,126.996418,node,4122,신반포,,,HIGH,0.98,exact_normalized
온수,37.4922986,126.823534,node,1821,온수,,,LOW,0.65,multi_candidate_first
양재,37.4844005,127.0341455,node,0332,양재,,,LOW,0.65,multi_candidate_first
복정,37.4705773,127.1267127,node,2821,복정,,,LOW,0.65,multi_candidate_first
독산,37.4660736,126.8894844,node,1714,독산,,,HIGH,0.98,exact_normalized
금천구청,37.4558132,126.8939002,node,1703,금천구청,,,HIGH,0.98,exact_normalized
암사역사공원,37.5570469,127.1374318,node,2810,암사역사공원,,,HIGH,0.98,exact_normalized
보문,37.5852743,127.0193736,node,2639,보문,,,LOW,0.65,multi_candidate_first
동작,37.5029705,126.978203,node,0431,동작,,,LOW,0.65,multi_candidate_first
도곡,37.4909056,127.0554679,node,0334,도곡,,,LOW,0.65,multi_candidate_first
김포공항,37.5619247,126.8013934,node,2513,김포공항,,,LOW,0.65,multi_candidate_first
동대문역사문화공원,37.5652615,127.0081233,node,0205,동대문역사문화공원,,,LOW,0.65,multi_candidate_first
구로,37.5034468,126.8825086,node,1701,구로,,,HIGH,0.98,exact_normalized
