osm_type,osm_id,osm_full_id,station_name,name_ko,name_en,lat,lon,railway,public_transport,station,subway,operator
node,287600947,node/287600947,한성대입구,한성대입구,Hansung University,37.5885141,127.0059624,station,station,subway,yes,서울교통공사
node,355172758,node/355172758,제기동,제기동,Jegi-dong,37.5783784,127.0344672,station,station,subway,yes,서울교통공사
node,355173082,node/355173082,과천,과천,Gwacheon,37.4330744,126.9969576,station,station,subway,yes,한국철도공사
node,355173088,node/355173088,경마공원,경마공원,Seoul Racecourse Park,37.4437648,127.0078955,station,station,subway,yes,한국철도공사
node,355173092,node/355173092,일원,일원,Ilwon,37.4836919,127.0843766,station,station,subway,yes,서울교통공사
node,1849176201,node/1849176201,국회의사당,국회의사당,National Assembly,37.5280157,126.9179639,station,station,subway,yes,서울시메트로9호선
node,1994702339,node/1994702339,노들,노들,Nodeul,37.5129744,126.9535497,station,station,subway,yes,서울교통공사
node,2028051082,node/2028051082,신설동,신설동,Sinseol-dong,37.5760544,127.0246657,station,station,subway,yes,서울교통공사
node,2246104056,node/2246104056,용답,용답,Yongdap,37.56209,127.0508609,station,station,subway,yes,서울교통공사
node,2346858840,node/2346858840,수서,수서,Suseo,37.4874159,127.1018399,station,station,subway,yes,서울교통공사
node,3278844468,node/3278844468,충정로,충정로,Chungjeongno,37.5593715,126.9629108,station,station,subway,yes,서울교통공사
node,3426724598,node/3426724598,종로5가,종로5가,Jongno 5(o)-ga,37.5709867,127.0020222,station,station,subway,yes,서울교통공사
node,3431313912,node/3431313912,고속터미널,고속터미널,Express Bus Terminal,37.5050827,127.0049777,station,station,subway,yes,서울교통공사
node,3824606373,node/3824606373,봉은사,봉은사,Bongeunsa,37.5141869,127.0602411,station,station,subway,yes,서울교통공사
node,3824606376,node/3824606376,언주,언주,Eonju,37.507321,127.0338746,station,station,subway,yes,서울교통공사
node,3824606382,node/3824606382,삼성중앙,삼성중앙,Samseong Jungang,37.5130955,127.0534747,station,station,subway,yes,서울시메트로9호선
node,3824606384,node/3824606384,사평,사평,Sapyeong,37.5042952,127.0151398,station,station,subway,yes,서울시메트로9호선
node,3824606387,node/3824606387,선정릉,선정릉,Seonjeongneung,37.510253,127.0438586,station,station,subway,yes,서울교통공사
node,3824606390,node/3824606390,신논현,신논현,Sinnonhyeon,37.5043224,127.0245306,station,station,subway,yes,서울교통공사;네오트랜스주식회사
node,3834732261,node/3834732261,구반포,구반포,Gubanpo,37.5012899,126.9867849,station,station,subway,yes,서울교통공사
node,3834732263,node/3834732263,흑석,흑석,Heukseok,37.5083823,126.9639489,station,station,subway,yes,서울시메트로9호선
node,3834732267,node/3834732267,신반포,신반포,Sinbanpo,37.5036014,126.996418,station,station,subway,yes,서울교통공사
node,5208486247,node/5208486247,온수,온수,Onsu,37.4922986,126.823534,station,station,subway,yes,한국철도공사;서울교통공사
node,5351229954,node/5351229954,양재,양재,Yangjae,37.4844005,127.0341455,station,station,subway,yes,서울교통공사
node,5408273777,node/5408273777,복정,복정,Bokjeong,37.4705773,127.1267127,station,station,subway,yes,서울교통공사
node,5444369664,node/5444369664,독산,독산,Doksan,37.4660736,126.8894844,station,station,subway,yes,한국철도공사
node,5448524543,node/5448524543,금천구청,금천구청,Geumcheon-gu Office,37.4558132,126.8939002,station,station,subway,yes,한국철도공사
node,5451488269,node/5451488269,암사역사공원,암사역사공원,Amsa History Park,37.5570469,127.1374318,station,station,subway,yes,서울교통공사
node,5747397250,node/5747397250,보문,보문,Bomun,37.5852743,127.0193736,station,station,subway,yes,서울교통공사
node,5770979639,node/5770979639,동작,동작,Dongjak,37.5029705,126.978203,station,station,subway,yes,서울교통공사
node,5772493739,node/5772493739,도곡,도곡,Dogok,37.4909056,127.0554679,station,station,subway,yes,서울교통공사
node,5772497241,node/5772497241,김포공항,김포공항,Gimpo Int'l Airport,37.5619247,126.8013934,station,station,subway,yes,서울교통공사
node,5772552255,node/5772552255,동대문역사문화공원,동대문역사문화공원,Dongdaemun History & Culture Park Station (DDP),37.5652615,127.0081233,station,station,subway,yes,서울교통공사
node,5774282517,node/5774282517,구로,구로,Guro,37.5034468,126.8825086,station,station,subway,yes,한국철도공사
node,5782503942,node/5782503942,안국,안국,Anguk,37.5768279,126.9861709,station,station,subway,yes,서울교통공사
node,5799979340,node/5799979340,강일,강일,Gangil,37.5574822,127.1757633,station,station,subway,yes,서울교통공사
node,5801572034,node/5801572034,천호,,Cheonho,37.5385225,127.1234021,station,station,subway,yes,서울교통공사
node,5812233465,node/5812233465,동대문,동대문,Dongdaemun,37.5718616,127.0114887,station,station,subway,yes,서울교통공사
node,5812740055,node/5812740055,삼각지,삼각지,Samgakji,37.535478,126.9738885,station,station,subway,yes,서울교통공사
node,5814312742,node/5814312742,도봉산,도봉산,Dobongsan,37.6898359,127.0460783,station,station,subway,yes,한국철도공사
node,5814312743,node/5814312743,도봉산,도봉산,Dobongsan,37.6891881,127.0465716,station,station,subway,yes,서울교통공사
node,5863335699,node/5863335699,종각,종각,Jonggak,37.5701745,126.9831831,station,station,subway,yes,서울교통공사
node,5863378580,node/5863378580,건대입구,건대입구,Konkuk Univ.,37.5404436,127.0708644,station,station,subway,yes,서울교통공사
node,5916874387,node/5916874387,응암,응암,Eungam,37.5984296,126.9155283,station,station,subway,yes,서울교통공사
node,5916874391,node/5916874391,합정,합정,Hapjeong,37.5493558,126.9136561,station,station,subway,yes,서울교통공사
