"전철역코드","전철역명","전철명명(영문)","호선","외부코드","전철명명(중문)","전철명명(일문)"
"1712","화서","Hwaseo","01호선","P154","?西","ファソ"
"1810","제물포","Jemulpo","01호선","158","?物浦","チェムルポ"
"1811","동인천","Dongincheon","01호선","160","?仁川","トンインチョン"
"1812","인천","Incheon","01호선","161","仁川","インチョン"
"1814","소사","Sosa","01호선","147","素砂","ソサ"
"1815","부개","Bugae","01호선","151","富?","プゲ"
"1816","간석","Ganseok","01호선","155","?石","カンソク"
"1817","도원","Dowon","01호선","159","桃源","トウォン"
"1821","온수","Onsu","01호선","145","?水","オンス"
"1822","중동","Jung-dong","01호선","149","中洞","チュンドン"
"1823","도화","Dohwa","01호선","157","道禾","トファ"
"1401","봉명","Bongmyeong","01호선","P170","??","ポンミョン"
"1402","쌍용","Ssangyong","01호선","P171","??","サンヨン"
"1403","아산","Asan","01호선","P172","牙山","アサン"
"1404","탕정","Tangjeong","01호선","P173","?井","タンジョン"
"1405","배방","Baebang","01호선","P174","排芳","ペバン"
"1407","온양온천","Onyang oncheon","01호선","P176","???泉","オニャンオンチョン"
"1408","신창","Sinchang","01호선","P177","新昌","シンチャン"
"1004","노량진","Noryangjin","01호선","136","?梁津","ノリャンジン"
"0155","동대문","Dongdaemun","01호선","128","?大?","トンデムン"
"0156","신설동","Sinseol-dong","01호선","126","新?洞","シンソルトン"
"0157","제기동","Jegi-dong","01호선","125","祭基洞","チェギドン"
"0158","청량리","Cheongnyangni","01호선","124","?凉里","チョンニャンニ"
"1032","신길","Singil","01호선","138","新吉","シンギル"
"0154","종로5가","Jongno 5(o)-ga","01호선","129","?路五街","チョンノオガ"
"1701","구로","Guro","01호선","141","九老","クロ"
"1702","가산디지털단지","Gasan Digital Complex","01호선","P142","加山????","カサン·デジタルダンジ"
"1703","금천구청","Geumcheon-Gu Office","01호선","P144","衿川??","クムチョングチョン"
"1704","석수","Seoksu","01호선","P145","石水","ソッス"
"0153","종로3가","Jongno 3(sam)-ga","01호선","130","?路三街","チョンノサムガ"
"0152","종각","Jonggak","01호선","131","??","チョンガク"
"0151","시청","City Hall","01호선","132","市?","シチョン"
"1016","외대앞","Hankuk Univ. of Foreign Studies","01호선","122","??外??大?","ウェデアプ"
"1705","관악","Gwanak","01호선","P146","冠岳","クァナク"
"1706","안양","Anyang","01호선","P147","安?","アニヤン"
"1710","의왕","Uiwang","01호선","P152","儀王","ウィワン"
"1711","성균관대","Sungkyunkwan  Univ.","01호선","P153","成均?大?","ソンギュングァンデ"
"1808","동암","Dongam","01호선","154","?岩","トンアム"
"1713","수원","Suwon","01호선","P155","水原","スウォン"
"1714","독산","Doksan","01호선","P143","?山","トッサン"
"1715","세류","Seryu","01호선","P156","?柳","セリュ"
"1716","병점","Byeongjeom","01호선","P157","?店","ピョンチョム"
"1718","오산대","Osan College","01호선","P159","?山大?","オサンデ"
"1720","진위","Jinwi","01호선","P161","振威","チヌィ"
"1721","송탄","Songtan","01호선","P162","松炭","ソンタン"
"1722","서정리","Seojeong-ri","01호선","P163","西井里","ソジョンニ"
"1723","평택지제","PyeongtaekJije","01호선","P164","平?芝制","ピョンテクチジェ"
"1724","평택","Pyeongtaek","01호선","P165","平?","ピョンテク"
"1725","성환","Seonghwan","01호선","P166","成?","ソンファン"
"1726","직산","Jiksan","01호선","P167","稷山","チッサン"
"1727","두정","Dujeong","01호선","P168","斗井","トゥジョン"
"1728","천안","Cheonan","01호선","P169","天安","チョナン"
"1749","서동탄","Seodongtan","01호선","P157-1","西??","ソドンタン"
"1750","광명","Gwangmyeong","01호선","P144-1","光明","クァンミョン"
"0159","동묘앞","Dongmyo","01호선","127","??","トンミョアプ"
"0150","서울역","Seoul Station","01호선","133","首?","ソウル"
"1801","개봉","Gaebong","01호선","143","?峰","ケボン"
"1802","오류동","Oryu-dong","01호선","144","梧柳洞","オリュドン"
"1803","역곡","Yeokgok","01호선","146","?谷","ヨッコク"
"1804","부천","Bucheon","01호선","148","富川","プチョン"
"1806","부평","Bupyeong","01호선","152","富平","プピョン"
"1807","백운","Baegun","01호선","153","白云","ペグン"
"1022","창동","Chang-dong","01호선","116","?洞","チャンドン"
"1003","용산","Yongsan","01호선","135","?山","ヨンサン"
"1018","석계","Seokgye","01호선","120","石溪","ソッケ"
"1015","회기","Hoegi","01호선","123","回基","フェギ"
"1017","신이문","Sinimun","01호선","121","新里?","シニムン"
"1918","전곡","Jeongok","01호선","100-2","全谷","チョンゴク"
"1002","남영","Namyeong","01호선","134","南?","ナミョン"
"1006","영등포","Yeongdeungpo","01호선","139","永登浦","ヨンドゥンポ"
"1917","청산","Cheongsan","01호선","100-1","?山","チョンサン"
"1916","소요산","Soyosan","01호선","100","逍?山","ソヨサン"
"1915","동두천","Dongducheon","01호선","101","?豆川","トンドゥチョン"
"1912","지행","Jihaeng","01호선","104","?杏","チヘン"
"1910","덕계","Deokgye","01호선","106","德溪","トッケ"
"1909","양주","Yangju","01호선","107","?州","ヤンジュ"
"1907","가능","Ganeung","01호선","109","佳陵","カヌン"
"1906","의정부","Uijeongbu","01호선","110","?政府","ウィジョンブ"
"1905","회룡","Hoeryong","01호선","111","回?","フェリョン"
"1904","망월사","Mangwolsa","01호선","112","望月寺","マンウォルサ"
"1903","도봉산","Dobongsan","01호선","113","道峰山","トボンサン"
"1902","도봉","Dobong","01호선","114","道峰","トボン"
"1901","방학","Banghak","01호선","115","放?","パンハク"
"1007","신도림","Sindorim","01호선","140","新道林","シンドリム"
"1019","광운대","Kwangwoon Univ.","01호선","119","光云大","光云大"
"1021","녹천","Nokcheon","01호선","117","鹿川","ノクチョン"
"1005","대방","Daebang","01호선","137","大方","テバン"
"1913","동두천중앙","Dongducheon  jungang","01호선","103","?豆川中央","トンドゥチョン·チュンアン"
"1919","연천","Yeoncheon","01호선","100-3","?川","ヨンチョン"
"1911","덕정","Deokjeong","01호선","105","德亭","トクチョン"
"1813","구일","Guil","01호선","142","九一","クイル"
