"정류장_ID","정류장_명칭","정류장_유형","정류장_번호","위도","경도","버스도착정보안내기_설치_여부"
"100000001","종로2가사거리","중앙차로","01001","37.5698055407","126.9877522923","설치   "
"100000002","창경궁.서울대학교병원","중앙차로","01002","37.5794329320","126.9965206101","설치   "
"100000003","명륜3가.성대입구","중앙차로","01003","37.5825800121","126.9982508372","설치   "
"100000004","종로2가.삼일교","중앙차로","01004","37.5685792736","126.9876130976","설치   "
"100000005","혜화동로터리.여운형활동터","중앙차로","01005","37.5862430000","127.0017440000","설치   "
"100000006","경기상고","일반차로","01101","37.5875502159","126.9693634554","설치   "
"100000007","신교동","일반차로","01102","37.5832955233","126.9702626865","설치   "
"100000008","경기상고","일반차로","01103","37.5871907861","126.9697701102","설치   "
"100000009","경복고교","일반차로","01104","37.5851600316","126.9708802468","설치   "
"100000010","청운중학교","일반차로","01105","37.5878105790","126.9726741314","설치   "
"100000011","자하문고개.윤동주문학관","일반차로","01106","37.5921866176","126.9671261805","설치   "
"100000012","자하문고개.윤동주문학관","일반차로","01107","37.5923353152","126.9671906625","설치   "
"100000013","청운중학교","일반차로","01108","37.5884219586","126.9722631304","설치   "
"100000014","경복고교","일반차로","01109","37.5850633028","126.9714039185","설치   "
"100000015","통인시장종로구보건소","일반차로","01110","37.5803257033","126.9710500404","설치   "
"100000016","통인시장종로구보건소","일반차로","01111","37.5805132118","126.9713851083","설치   "
"100000017","효자동","일반차로","01112","37.5830910430","126.9706209712","설치   "
"100000018","사직단.어린이도서관","일반차로","01113","37.5751355316","126.9679907155","설치   "
"100000019","경복궁역1번출구","일반차로","01114","37.5761614873","126.9714158133","설치   "
"100000020","경복궁역2번출구","일반차로","01115","37.5770401440","126.9721994292","설치   "
"100000021","경복궁역3번출구","일반차로","01116","37.5776713863","126.9722828893","설치   "
"100000022","경복궁","일반차로","01117","37.5755767894","126.9787471496","설치   "
"100000023","광화문역2번출구.KT광화문지사","일반차로","01118","37.5723209262","126.9774162769","설치   "
"100000025","광화문역6번출구","일반차로","01120","37.5700448348","126.9764072400","설치   "
"100000028","서울역사박물관.강북삼성병원","일반차로","01123","37.5700230000","126.9712480000","설치   "
"100000029","새문안교회","일반차로","01124","37.5703368912","126.9728386477","미설치  "
"100000030","광화문역7번출구","일반차로","01125","37.5703650000","126.9758370000","설치   "
"100000031","세종문화회관","일반차로","01126","37.5736489318","126.9769975778","설치   "
"100000032","서울경찰청.경복궁역","일반차로","01127","37.5757446636","126.9714842989","설치   "
"100000033","사직단","일반차로","01128","37.5748553458","126.9681889610","설치   "
"100000034","광화문역6번출구.광화문빌딩","일반차로","01129","37.5695035518","126.9768637419","설치   "
"100000035","덕성여중고","일반차로","01130","37.5757693863","126.9819722460","설치   "
"100000036","안국역.서울공예박물관","일반차로","01131","37.5760695565","126.9839957858","설치   "
"100000037","국민은행세검정지점","일반차로","01132","37.6046629766","126.9608880061","설치   "
"100000038","세검정초등학교","일반차로","01133","37.6025022799","126.9612198463","설치   "
"100000039","세검정.상명대","일반차로","01134","37.6004770909","126.9582921267","설치   "
"100000040","상명대입구.석파랑","일반차로","01135","37.5994133537","126.9585702250","설치   "
"100000041","하림각","일반차로","01136","37.5981330665","126.9617068235","설치   "
"100000042","자하문터널입구.석파정","일반차로","01137","37.5955935123","126.9636434993","설치   "
"100000043","부암동주민센터.무계원","일반차로","01138","37.5927670827","126.9642221989","설치   "
"100000044","부암동주민센터.무계원","일반차로","01139","37.5927861733","126.9651419211","설치   "
"100000045","자하문터널입구.석파정","일반차로","01140","37.5955575712","126.9639775924","설치   "
"100000046","하림각","일반차로","01141","37.5981476478","126.9622153080","설치   "
"100000047","상명대입구.세검정교회","일반차로","01142","37.5996163318","126.9592405649","설치   "
"100000048","세검정.세검정성당","일반차로","01143","37.6006470965","126.9591557980","설치   "
"100000049","세검정초등학교","일반차로","01144","37.6022680671","126.9614328894","설치   "
"100000051","국민은행세검정지점","일반차로","01146","37.6048461618","126.9611926889","설치   "
"100000053","승가사입구","일반차로","01148","37.6115844138","126.9563059978","미설치  "
"100000054","구기동현대빌라","일반차로","01149","37.6100355035","126.9564575503","설치   "
"100000055","구기터널.삼성출판박물관","일반차로","01150","37.6086098941","126.9562103294","설치   "
"100000056","구기터널.삼성출판박물관","일반차로","01151","37.6083054034","126.9564166508","설치   "
"100000057","구기동","일반차로","01152","37.6069644475","126.9585297928","설치   "
"100000058","구기동","일반차로","01153","37.6070088003","126.9591017479","설치   "
"100000059","승가사입구","일반차로","01154","37.6114800000","126.9564820000","미설치  "
"100000060","갑을씨티텔앞","일반차로","01155","37.6043709709","126.9635350292","설치   "
"100000061","평창파출소","일반차로","01156","37.6053223656","126.9660432906","설치   "
"100000062","평창동주민센터","일반차로","01157","37.6066073749","126.9695663093","설치   "
"100000063","일성아파트","일반차로","01158","37.6088723554","126.9729237379","설치   "
"100000064","롯데아파트","일반차로","01159","37.6103897208","126.9763156152","설치   "
"100000065","롯데아파트","일반차로","01160","37.6102480000","126.9766520000","설치   "
"100000066","벽산평창힐스아파트","일반차로","01161","37.6081900000","126.9727970000","설치   "
"100000067","예능교회","일반차로","01162","37.6065170000","126.9700000000","설치   "
"100000068","서울예술고등학교.평창동주민센터","일반차로","01163","37.6057787606","126.9676276108","설치   "
"100000069","화정박물관","일반차로","01164","37.6045038178","126.9648102665","설치   "
"100000072","독립문역.서대문형무소역사관","일반차로","01167","37.5733950000","126.9593220000","설치   "
"100000073","금화초등학교.서울시교육청","일반차로","01168","37.5678790000","126.9648670000","설치   "
"100000075","독립문","일반차로","01171","37.5713430165","126.9614303112","미설치  "
"100000076","창덕궁.우리소리박물관","일반차로","01172","37.5775405746","126.9885394479","설치   "
"100000077","서린동.SK서린빌딩","일반차로","01173","37.5692639006","126.9800947893","미설치  "
"100000078","청계1가.장통교","일반차로","01174","37.5686843890","126.9849267193","미설치  "
"100000079","청계2가.수표교","일반차로","01175","37.5684453156","126.9908172161","미설치  "
"100000080","청계4가.세운교","일반차로","01176","37.5689254028","126.9965617399","미설치  "
"100000081","청계5가.광장시장","일반차로","01177","37.5694512793","126.9997973605","설치   "
"100000102","원남동","가로변시간","01198","37.5745325055","126.9973383362","설치   "
"100000103","창덕궁.우리소리박물관","일반차로","01199","37.5772726542","126.9889538872","설치   "
"100000104","안국역6번출구.인사동문화의거리","일반차로","01200","37.5757989790","126.9841344381","설치   "
"100000105","조계사.종로경찰서","일반차로","01201","37.5725223095","126.9831555803","설치   "
"100000106","조계사.종로경찰서","일반차로","01202","37.5724858087","126.9828258888","설치   "
"100000107","안국동사거리","일반차로","01203","37.5746105669","126.9827201116","설치   "
"100000108","효제동.김상옥의거터","가로변시간","01204","37.5745000000","127.0022300000","설치   "
"100000109","종로5가.효제초등학교","가로변시간","01205","37.5728790133","127.0021442279","설치   "
"100000116","종로5가역6번출구","일반차로","01212","37.5705596025","127.0021826522","설치   "
"100000117","청계5가.마전교","일반차로","01213","37.5698351103","127.0028494203","미설치  "
"100000118","동대문","일반차로","01214","37.5717262368","127.0084126252","설치   "
"100000119","충신동","일반차로","01215","37.5740223509","127.0062788120","설치   "
"100000121","충신동","일반차로","01217","37.5744602778","127.0063433807","설치   "
"100000122","연지공원앞","일반차로","01218","37.5759104142","127.0008065808","설치   "
"100000123","방송통신대.이화장","가로변전일","01219","37.5780430000","127.0024370000","설치   "
"100000124","혜화역2번출구.마로니에공원","가로변전일","01220","37.5811194873","127.0022769364","설치   "
"100000125","혜화역3번출구.서울대병원입구","가로변전일","01221","37.5809559696","127.0018481852","미설치  "
"100000126","방송통신대.이화장","일반차로","01222","37.5777889737","127.0019782952","설치   "
"100000127","연지공원앞","일반차로","01223","37.5761193550","127.0006951494","미설치  "
"100000128","창경궁.서울대학교병원","일반차로","01224","37.5788279947","126.9968717143","설치   "
"100000129","이화동(이화장)","일반차로","01225","37.5759372914","127.0032708172","설치   "
"100000130","혜화동로터리","일반차로","01226","37.5855803307","127.0006878052","설치   "
